episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,281,0,0.0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,nan,1.1005844000028446,2.364858999993885
1,1.0,33,1,0.5,33,1,metric_ff,,0.059791892766952515,1.1030272000061814,1.2392896999954246
2,1.0,64,1,0.6666666666666666,97,1,metric_ff,,0.03230184316635132,0.9924541000218596,1.2974779000214767
3,0.0,280,0,0.5,97,1,metric_ff,,0.01750984787940979,0.9490222999884281,2.192812600027537
4,1.0,5,1,0.6,102,1,metric_ff,,0.022074289619922638,0.9775302000052761,1.0140195000276435
5,1.0,38,1,0.6666666666666666,140,1,metric_ff,,0.06243984401226044,1.5677327000012156,1.7466140000033192
6,0.0,300,0,0.5714285714285714,140,1,metric_ff,,0.017445895820856094,0.8797216000093613,2.11573680001311
7,1.0,40,1,0.625,180,1,metric_ff,,0.031427811831235886,0.9282540999993216,1.129138399992371
8,0.0,288,0,0.5555555555555556,180,1,metric_ff,,0.0272943414747715,0.8648440999968443,2.217160200001672
9,0.0,285,0,0.5,180,1,metric_ff,,0.022293249145150185,1.1299793999933172,2.42447350002476
10,1.0,22,1,0.5454545454545454,202,1,metric_ff,,0.04740295931696892,1.0315567000070587,1.159792299993569
11,0.0,280,0,0.5,202,1,metric_ff,,0.011576223187148571,1.070197900000494,2.4657710999890696
12,1.0,175,1,0.5384615384615384,377,1,metric_ff,,0.03105471096932888,1.8717838999873493,2.7412933000014164
13,1.0,5,1,0.5714285714285714,382,1,metric_ff,,0.025767579674720764,1.0227054000133649,1.0676825999980792
14,1.0,25,1,0.6,407,1,metric_ff,,0.055057354271411896,0.9952069999999367,1.1290687000146136
15,1.0,5,1,0.625,412,1,metric_ff,,0.009296884760260582,0.9720220000017434,1.0341959999932442
16,1.0,106,1,0.6470588235294118,518,1,metric_ff,,0.016430582851171494,0.9886124999902677,1.536255600018194
17,1.0,50,1,0.6666666666666666,568,1,metric_ff,,0.029551196843385696,1.036616099998355,1.3253043000004254
18,1.0,21,1,0.6842105263157895,589,1,metric_ff,,0.026859305799007416,0.8807962000137195,0.9912296999827959
19,1.0,5,1,0.7,594,1,metric_ff,,0.01624234765768051,0.8937652999884449,0.9508946999849286
20,1.0,207,1,0.7142857142857143,801,1,metric_ff,,0.028819885104894638,1.0041615999944042,1.9606958999938797
21,1.0,5,1,0.7272727272727273,806,1,metric_ff,,0.036778926849365234,0.8685283999948297,0.9289635999884922
22,1.0,105,1,0.7391304347826086,911,1,metric_ff,,0.027637358754873276,1.5623283000022639,2.0751735000230838
23,0.0,288,0,0.7083333333333334,911,1,metric_ff,,0.027552876621484756,1.1061326999915764,2.4696451000054367
24,0.0,287,0,0.68,911,1,metric_ff,,0.007162549067288637,0.9279138999991119,2.1573401000059675
25,1.0,107,1,0.72,1018,1,metric_ff,,0.023458680137991905,0.9657425000041258,1.533227200008696
26,0.0,298,0,0.68,1018,1,metric_ff,,0.010832607746124268,1.1879254000086803,2.5377338000107557
27,1.0,55,1,0.68,1073,1,metric_ff,,0.01956334337592125,0.8888839999854099,1.1833812999830116
28,0.0,282,0,0.68,1073,1,metric_ff,,0.01703449711203575,0.8624410999764223,2.146437399991555
29,1.0,285,1,0.68,1358,1,metric_ff,,0.025044171139597893,0.9023749000043608,2.682871299999533
30,0.0,295,0,0.64,1358,1,metric_ff,,0.04040423780679703,1.0487823000003118,2.5100770000135526
31,0.0,293,0,0.64,1358,1,metric_ff,,0.013639936223626137,1.1567263999895658,2.5731374000024516
32,1.0,45,1,0.64,1403,1,metric_ff,,0.017626328393816948,0.966591000003973,1.2403988000005484
33,1.0,5,1,0.68,1408,1,metric_ff,,0.011409982107579708,1.0500202999974135,1.1542039999912959
34,1.0,203,1,0.72,1611,1,metric_ff,,0.006815774831920862,1.1431542999926023,2.1729280999861658
35,1.0,203,1,0.72,1814,1,metric_ff,,0.010640504769980907,0.9462162999843713,2.0018456999969203
36,1.0,11,1,0.76,1825,1,metric_ff,,0.02012733183801174,1.5663004000089131,1.6889823999954388
37,1.0,50,1,0.76,1875,1,metric_ff,,0.02588675729930401,0.9798892000108026,1.2660310000064783
38,0.0,280,0,0.72,1875,1,metric_ff,,0.00613643741235137,1.5214673000155017,3.0454323000158183
39,1.0,5,1,0.72,1880,1,metric_ff,,0.0873073935508728,1.0496593000134453,1.1581295000214595
40,0.0,311,0,0.68,1880,1,metric_ff,,0.046575549989938736,1.1735381000034977,2.5220808000012767
41,0.0,277,0,0.64,1880,1,metric_ff,,0.015874799340963364,0.8936282999929972,2.253128399985144
42,0.0,291,0,0.6,1880,1,metric_ff,,0.009464937262237072,1.422460300003877,2.923111899988726
43,1.0,21,1,0.6,1901,1,metric_ff,,0.03822512924671173,0.9463025000004563,1.1674917000054847
44,1.0,55,1,0.6,1956,1,metric_ff,,0.01680588908493519,0.9450177999970037,1.295120800001314
45,1.0,55,1,0.6,2011,1,metric_ff,,0.02651151828467846,1.0485292999946978,1.390089500026079
46,0.0,283,0,0.56,2011,1,metric_ff,,0.03338661789894104,0.9409334000083618,2.183118099987041
47,1.0,5,1,0.56,2016,1,metric_ff,,0.02078355848789215,0.9634779999905732,1.0887739000027068
48,1.0,5,1,0.6,2021,1,metric_ff,,0.03244054317474365,0.8638250000076368,0.9735458999930415
49,0.0,307,0,0.6,2021,1,metric_ff,,0.007747481111437082,1.3283892000035848,2.892029399983585
50,1.0,5,1,0.6,2026,1,metric_ff,,0.05176345258951187,0.9170205999980681,1.0599615999963135
51,1.0,5,1,0.64,2031,1,metric_ff,,0.008316113613545895,1.5650349000061397,1.697526400006609
52,1.0,6,1,0.64,2037,1,metric_ff,,0.016435513272881508,1.3462597000179812,1.4914709999866318
53,1.0,90,1,0.68,2127,1,metric_ff,,0.010058553889393806,0.880589999986114,1.369681500014849
54,0.0,287,0,0.64,2127,1,metric_ff,,0.015704210847616196,0.9444079000095371,2.2600507000170182
55,1.0,42,1,0.68,2169,1,metric_ff,,0.022998081520199776,1.3414908999984618,1.6729407999955583
56,1.0,24,1,0.72,2193,1,metric_ff,,0.012307336553931236,0.9813712000031956,1.2020176000078209
57,1.0,60,1,0.72,2253,1,metric_ff,,0.023209474980831146,1.0748635999916587,1.485963199986145
58,1.0,52,1,0.72,2305,1,metric_ff,,0.014792736619710922,0.9160821000114083,1.2673486999992747
59,1.0,54,1,0.72,2359,1,metric_ff,,0.029821326956152916,0.9323459999868646,1.3046759999997448
60,1.0,42,1,0.72,2401,1,metric_ff,,0.0043820845894515514,1.5477180000161752,1.9038495999993756
61,1.0,145,1,0.72,2546,1,metric_ff,,0.007084397133439779,1.0979020999802742,1.8635395000164863
62,0.0,297,0,0.68,2546,1,metric_ff,,0.011906694620847702,0.907127100013895,2.4103264000150375
63,1.0,6,1,0.72,2552,1,metric_ff,,0.021604463458061218,1.1214062999933958,1.2704449000011664
64,1.0,7,1,0.72,2559,1,metric_ff,,0.004493883810937405,1.003107500000624,1.1448739999905229
65,0.0,293,0,0.72,2559,1,metric_ff,,0.021950844675302505,1.0818915000127163,2.547293100011302
66,1.0,261,1,0.76,2820,1,metric_ff,,0.015179961919784546,1.0118733000126667,2.4247953000012785
67,1.0,111,1,0.8,2931,1,metric_ff,,0.011325210332870483,2.1010941999848,2.888882700004615
68,1.0,5,1,0.8,2936,1,metric_ff,,0.01838546060025692,1.2730835999827832,1.444872199994279
69,0.0,282,0,0.76,2936,1,metric_ff,,0.009358389303088188,1.0001040000061039,2.466987300023902
70,0.0,293,0,0.72,2936,1,metric_ff,,0.008320584893226624,1.11331769998651,2.5553040000086185
71,0.0,278,0,0.72,2936,1,metric_ff,,0.009296227246522903,1.0143869000021368,2.45771980000427
72,1.0,83,1,0.72,3019,1,metric_ff,,0.015778623521327972,1.3235366999870166,1.855932499980554
73,1.0,130,1,0.72,3149,1,metric_ff,,0.024055108428001404,1.67697689999477,2.4629633000004105
74,1.0,5,1,0.76,3154,1,metric_ff,,0.013592325150966644,0.9933252000191715,1.1829464999900665
75,0.0,299,0,0.72,3154,1,metric_ff,,0.02627025730907917,1.0788051999988966,2.553103199985344
76,1.0,10,1,0.72,3164,1,metric_ff,,0.017251435667276382,0.9336633999773767,1.1546413999749348
77,0.0,284,0,0.68,3164,1,metric_ff,,0.033873457461595535,1.0662895000132266,2.617272800009232
78,0.0,277,0,0.64,3164,1,metric_ff,,0.005925412755459547,1.0468196000147145,2.6947724999918137
79,1.0,187,1,0.68,3351,1,metric_ff,,0.026360783725976944,1.0511196999868844,2.146494699991308
80,0.0,298,0,0.64,3351,1,metric_ff,,0.03809724748134613,1.134785300004296,3.1072949999943376
81,0.0,287,0,0.6,3351,1,metric_ff,,0.02845333144068718,0.8795328999985941,2.4634289999958128
82,1.0,27,1,0.6,3378,1,metric_ff,,0.034703899174928665,1.0215689999749884,1.3292956000077538
83,1.0,87,1,0.6,3465,1,metric_ff,,0.02955266833305359,1.0842441999993753,1.690546900004847
84,1.0,5,1,0.6,3470,1,metric_ff,,0.01190162729471922,0.9849321999936365,1.1793937000038568
85,1.0,5,1,0.6,3475,1,metric_ff,,0.0193802397698164,1.0452885999984574,1.2583960000192747
86,1.0,154,1,0.6,3629,1,metric_ff,,0.019157536327838898,1.1228486000036355,2.0340623000229243
87,1.0,5,1,0.64,3634,1,metric_ff,,0.018694061785936356,0.9821459999948274,1.1800922999973409
88,1.0,6,1,0.64,3640,1,metric_ff,,0.016710255295038223,1.6881681000231765,1.8901375999848824
89,0.0,296,0,0.6,3640,1,metric_ff,,0.02168901078402996,1.150458099989919,2.6817486000072677
90,0.0,296,0,0.6,3640,1,metric_ff,,0.021403953433036804,1.0722193000256084,2.745262799988268
91,0.0,305,0,0.56,3640,1,metric_ff,,0.025815296918153763,1.0051476000226103,2.6772316999849863
92,1.0,41,1,0.56,3681,1,metric_ff,,0.04348794370889664,1.2022031999949832,1.5847835000022314
93,0.0,296,0,0.52,3681,1,metric_ff,,0.008347374387085438,0.9670589000161272,2.57147680001799
94,0.0,279,0,0.52,3681,1,metric_ff,,0.016023460775613785,1.1760913000034634,3.2172998000169173
95,1.0,5,1,0.56,3686,1,metric_ff,,0.010506009683012962,0.991922599991085,1.23226709998562
96,0.0,290,0,0.56,3686,1,metric_ff,,0.020846158266067505,1.1447597999940626,2.667861100024311
97,0.0,292,0,0.52,3686,1,metric_ff,,0.015292637050151825,1.0500356999982614,2.6093203999917023
