episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,254,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,nan,13.084155899996404,29.105718399980105
1,1.0,62,1,0.5,62,0,1,1,0,metric_ff,,0.07051248103380203,12.498162000032607,15.082284400006756
2,0.0,254,0,0.3333333333333333,62,0,1,1,0,metric_ff,,0.0080576092004776,5.886716199980583,17.913637800025754
3,0.0,259,0,0.25,62,0,1,1,0,metric_ff,,0.047150708734989166,4.764079400047194,15.717066999990493
4,0.0,254,0,0.2,62,0,1,1,0,metric_ff,,0.026538390666246414,4.953935099998489,17.511844099964947
5,0.0,259,0,0.16666666666666666,62,0,1,1,0,metric_ff,,0.04228299483656883,4.883292499987874,16.1876731000375
6,1.0,141,1,0.2857142857142857,203,0,1,1,0,metric_ff,,0.03203274682164192,5.370744300016668,11.990269000001717
7,0.0,256,0,0.25,203,0,1,1,0,metric_ff,,0.042013853788375854,5.274569800007157,17.16999860003125
8,0.0,256,0,0.2222222222222222,203,0,1,1,0,metric_ff,,0.04673382267355919,5.108674200018868,16.293427199998405
9,0.0,256,0,0.2,203,0,1,1,0,metric_ff,,0.022677423432469368,5.903106299985666,17.216026399983093
10,1.0,6,1,0.2727272727272727,209,1,1,0,1,metric_ff,,0.04143492877483368,4.790617200022098,5.135332199977711
11,0.0,255,0,0.25,209,0,1,1,0,metric_ff,,0.044381335377693176,5.391542700002901,16.24135289998958
12,1.0,6,1,0.3076923076923077,215,1,1,0,1,metric_ff,,0.038975559175014496,5.445912700030021,5.8162703000125475
13,0.0,258,0,0.2857142857142857,215,0,1,1,0,metric_ff,,0.04224618151783943,8.317314899992198,21.05761329998495
14,0.0,254,0,0.26666666666666666,215,0,1,1,0,metric_ff,,0.05542784556746483,6.057577899948228,17.580411100003403
15,0.0,252,0,0.25,215,0,1,1,0,metric_ff,,0.061034321784973145,5.020283500023652,17.42862530000275
16,0.0,255,0,0.23529411764705882,215,0,1,1,0,metric_ff,,0.05496286600828171,5.66316250001546,18.089529999997467
17,0.0,257,0,0.2222222222222222,215,0,1,1,0,metric_ff,,0.04360149800777435,6.061617900035344,17.231391499983147
18,0.0,255,0,0.21052631578947367,215,0,1,1,0,metric_ff,,0.05503564327955246,4.949731000000611,15.991208699997514
19,1.0,256,1,0.25,471,0,1,1,0,metric_ff,,0.033599574118852615,4.450910699961241,16.339169899991248
20,0.0,253,0,0.23809523809523808,471,0,1,1,0,metric_ff,,0.07308821380138397,5.476593500003219,17.957646000024397
21,0.0,254,0,0.22727272727272727,471,0,1,1,0,metric_ff,,0.03994746878743172,5.384380100003909,16.876481599989347
22,1.0,6,1,0.2608695652173913,477,1,1,0,1,metric_ff,,0.035001326352357864,5.23132209997857,5.576840699999593
23,0.0,260,0,0.25,477,0,1,1,0,metric_ff,,0.013677013106644154,4.423434399999678,15.848514200013597
24,0.0,252,0,0.24,477,0,1,1,0,metric_ff,,0.05694872885942459,5.368735800031573,16.388239399995655
25,1.0,5,1,0.28,482,1,1,0,1,metric_ff,,0.058205001056194305,5.912445099966135,6.252600900013931
26,0.0,251,0,0.24,482,0,1,1,0,metric_ff,,0.0703907310962677,5.8814311000169255,18.35690730001079
27,0.0,259,0,0.24,482,0,1,1,0,metric_ff,,0.031859140843153,5.335904099978507,17.33366990002105
28,1.0,228,1,0.28,710,0,1,1,0,metric_ff,,0.01747792586684227,4.738645900040865,15.633684400003403
29,0.0,255,0,0.28,710,0,1,1,0,metric_ff,,0.034644149243831635,4.347691799979657,15.78531759994803
30,1.0,228,1,0.32,938,0,1,1,0,metric_ff,,0.026509573683142662,5.557195400004275,16.9794772999594
31,0.0,254,0,0.28,938,0,1,1,0,metric_ff,,0.029502123594284058,4.544243700045627,17.02013919997262
32,0.0,253,0,0.28,938,0,1,1,0,metric_ff,,0.04161025956273079,4.941031599999405,15.969564999977592
33,0.0,253,0,0.28,938,0,1,1,0,metric_ff,,0.02453038841485977,4.029295000014827,14.85816890001297
34,0.0,258,0,0.28,938,0,1,1,0,metric_ff,,0.026497280225157738,4.1975545000168495,15.039184599998407
35,0.0,258,0,0.24,938,0,1,1,0,metric_ff,,0.020082855597138405,3.9977843000087887,16.4318282000022
36,1.0,45,1,0.28,983,0,1,1,0,metric_ff,,0.04216023534536362,4.841397600015625,6.996823200024664
37,0.0,257,0,0.24,983,0,1,1,0,metric_ff,,0.05748194456100464,4.933247799985111,16.828738199954387
38,1.0,6,1,0.28,989,1,1,0,1,metric_ff,,0.025873061269521713,4.64079740003217,5.048003899981268
39,0.0,253,0,0.28,989,0,1,1,0,metric_ff,,0.091443732380867,5.537222200015094,17.93727840000065
40,1.0,5,1,0.32,994,1,1,0,1,metric_ff,,0.04603445157408714,4.8584794999915175,5.22843020001892
41,0.0,256,0,0.32,994,0,1,1,0,metric_ff,,0.04250922426581383,4.96878039999865,16.30965239997022
42,0.0,254,0,0.32,994,0,1,1,0,metric_ff,,0.027913933619856834,4.143317600013688,16.73386490001576
43,0.0,260,0,0.32,994,0,1,1,0,metric_ff,,0.02396348863840103,4.63099469995359,15.458852800016757
44,0.0,256,0,0.28,994,0,1,1,0,metric_ff,,0.03259654715657234,5.3081185999908485,16.084745300002396
45,1.0,5,1,0.32,999,1,1,0,1,metric_ff,,0.04069123789668083,4.559692800045013,4.942682399996556
46,0.0,255,0,0.32,999,0,1,1,0,metric_ff,,0.040321234613657,4.151768200041261,16.59470690001035
47,0.0,256,0,0.28,999,0,1,1,0,metric_ff,,0.024118870496749878,4.4210466999793425,16.96004420000827
48,0.0,261,0,0.28,999,0,1,1,0,metric_ff,,0.03909458965063095,5.157898700039368,17.646968799992464
49,0.0,252,0,0.28,999,0,1,1,0,metric_ff,,0.027250105515122414,4.860300800006371,16.223803300003055
50,0.0,253,0,0.24,999,0,1,1,0,metric_ff,,0.021616118028759956,4.395572599954903,15.865595399984159
51,0.0,253,0,0.24,999,0,1,1,0,metric_ff,,0.024518050253391266,4.56822800001828,15.515742199961096
52,0.0,257,0,0.24,999,0,1,1,0,metric_ff,,0.040207378566265106,4.649271200003568,17.163842800015118
53,0.0,257,0,0.2,999,0,1,1,0,metric_ff,,0.018886437639594078,4.175371999968775,15.766112699988298
54,0.0,255,0,0.2,999,0,1,1,0,metric_ff,,0.022788044065237045,4.106168500031345,15.248183899966534
55,1.0,5,1,0.2,1004,1,1,0,1,metric_ff,,0.02730555832386017,4.112518500012811,4.515547499991953
56,0.0,259,0,0.2,1004,0,1,1,0,metric_ff,,0.032499540597200394,4.341494099993724,17.162081599992234
