episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,259,0,0.0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,nan,5.963808100001188,11.243430999980774
1,1.0,5,1,0.5,5,1,metric_ff,,0.03297429159283638,5.332186899991939,5.440865899989149
2,1.0,109,1,0.6666666666666666,114,1,metric_ff,,0.016673138365149498,2.40281440000399,4.54735979999532
3,1.0,6,1,0.75,120,1,metric_ff,,0.020218076184391975,2.54374850000022,2.6726582999981474
4,1.0,5,1,0.8,125,1,metric_ff,,0.02918083965778351,2.4723363000084646,2.593468799983384
5,0.0,263,0,0.6666666666666666,125,1,metric_ff,,0.05066925287246704,3.7917167999839876,9.567797299998347
6,0.0,262,0,0.5714285714285714,125,1,metric_ff,,0.050128474831581116,2.0854911000060383,7.532545199996093
7,0.0,260,0,0.5,125,1,metric_ff,,0.022460544481873512,2.255260999983875,8.329215599980671
8,0.0,260,0,0.4444444444444444,125,1,metric_ff,,0.01715548150241375,2.0496016000106465,7.8992367000028025
9,0.0,263,0,0.4,125,1,metric_ff,,0.017245961353182793,2.3912735000194516,8.58335060000536
10,0.0,270,0,0.36363636363636365,125,1,metric_ff,,0.019720695912837982,3.0628680999798235,8.779888899996877
11,1.0,6,1,0.4166666666666667,131,1,metric_ff,,0.07912999391555786,2.6139636999869253,2.7976926999981515
12,1.0,32,1,0.46153846153846156,163,1,metric_ff,,0.01676766946911812,2.4087876999983564,3.312178499996662
13,0.0,257,0,0.42857142857142855,163,1,metric_ff,,0.031998418271541595,3.242363400000613,8.746913300012238
14,0.0,260,0,0.4,163,1,metric_ff,,0.033682748675346375,2.763196699990658,8.572512500017183
15,0.0,261,0,0.375,163,1,metric_ff,,0.02549769915640354,2.5041793000127655,8.892524599999888
16,0.0,259,0,0.35294117647058826,163,1,metric_ff,,0.04148855432868004,3.9421060000022408,9.121880599996075
17,0.0,264,0,0.3333333333333333,163,1,metric_ff,,0.012937706895172596,4.148416500014719,9.094691600010265
18,0.0,262,0,0.3157894736842105,163,1,metric_ff,,0.037550587207078934,2.4170074999856297,8.115726099989843
19,0.0,264,0,0.3,163,1,metric_ff,,0.05204753205180168,2.391357699991204,8.239535500004422
20,0.0,264,0,0.2857142857142857,163,1,metric_ff,,0.03223880007863045,2.427941300004022,8.870990399998846
21,0.0,261,0,0.2727272727272727,163,1,metric_ff,,0.026702644303441048,3.188129200018011,9.382628199993633
22,0.0,263,0,0.2608695652173913,163,1,metric_ff,,0.024256212636828423,2.3710633000009693,8.036801100010052
23,0.0,269,0,0.25,163,1,metric_ff,,0.02199159935116768,1.9698788000096101,8.007910299987998
24,0.0,265,0,0.24,163,1,metric_ff,,0.018236909061670303,3.088373500009766,8.713008899998385
25,1.0,238,1,0.28,401,1,metric_ff,,0.03900083154439926,2.3784038000158034,7.649061700009042
26,1.0,184,1,0.28,585,1,metric_ff,,0.006840195972472429,3.1860138999763876,6.8137578000023495
27,0.0,263,0,0.24,585,1,metric_ff,,0.026356888934969902,3.2424960999924224,8.72341609999421
28,0.0,261,0,0.2,585,1,metric_ff,,0.01590036042034626,3.638190500001656,9.325772400014102
29,0.0,262,0,0.16,585,1,metric_ff,,0.00999254360795021,2.294844300020486,7.746827800001483
30,0.0,269,0,0.16,585,1,metric_ff,,0.027920369058847427,3.0009130999969784,9.3283593999804
31,0.0,262,0,0.16,585,1,metric_ff,,0.021084655076265335,2.822635100019397,8.28475759999128
32,0.0,269,0,0.16,585,1,metric_ff,,0.02015536278486252,3.1301185000047553,8.774186299997382
33,1.0,241,1,0.2,826,1,metric_ff,,0.014553846791386604,3.4403624000260606,9.449985400016885
34,0.0,261,0,0.2,826,1,metric_ff,,0.01949475333094597,3.826819299982162,9.84287070002756
35,0.0,265,0,0.2,826,1,metric_ff,,0.016985757276415825,2.1423364000220317,7.540664200001629
36,1.0,18,1,0.2,844,1,metric_ff,,0.020239923149347305,2.455271900020307,3.037544299993897
37,0.0,262,0,0.16,844,1,metric_ff,,0.028659436851739883,2.7652752999856602,8.160117999999784
38,0.0,266,0,0.16,844,1,metric_ff,,0.023859355598688126,3.0745700000261422,9.414354099979391
39,1.0,6,1,0.2,850,1,metric_ff,,0.08245813101530075,2.6707581999944523,2.9359199999889825
40,0.0,259,0,0.2,850,1,metric_ff,,0.03130929544568062,4.337561399996048,10.136307700013276
41,0.0,265,0,0.2,850,1,metric_ff,,0.0355822816491127,2.8535443999862764,8.792550800018944
42,1.0,23,1,0.24,873,1,metric_ff,,0.023878388106822968,3.751598400005605,4.497145200002706
43,0.0,261,0,0.24,873,1,metric_ff,,0.014157489873468876,2.7035437999875285,8.247010599996429
44,0.0,264,0,0.24,873,1,metric_ff,,0.0073201898485422134,2.5739296000101604,8.66249620000599
45,0.0,264,0,0.24,873,1,metric_ff,,0.03582516312599182,2.953397400007816,8.829153500002576
46,0.0,255,0,0.24,873,1,metric_ff,,0.02091744728386402,2.292952299991157,7.846682700008387
47,1.0,53,1,0.28,926,1,metric_ff,,0.02146231383085251,2.7651424999930896,3.9489505999954417
48,1.0,5,1,0.32,931,1,metric_ff,,0.01613236963748932,2.5577095999906305,3.3695133000146598
49,0.0,268,0,0.32,931,1,metric_ff,,0.021010443568229675,3.096007699990878,8.572341699997196
50,1.0,151,1,0.32,1082,1,metric_ff,,0.024607084691524506,2.540742200013483,6.599415400007274
51,1.0,5,1,0.32,1087,1,metric_ff,,0.055176809430122375,2.4368155000265688,2.726963799999794
52,1.0,6,1,0.36,1093,1,metric_ff,,0.034018270671367645,2.2998854000179563,2.6643802000035066
53,1.0,226,1,0.4,1319,1,metric_ff,,0.029559101909399033,2.740563300001668,7.819437900005141
54,0.0,259,0,0.4,1319,1,metric_ff,,0.006477300077676773,2.4363421000016388,7.9116255000117235
55,0.0,265,0,0.4,1319,1,metric_ff,,0.02249808795750141,2.653805600013584,8.749489300011192
56,0.0,267,0,0.4,1319,1,metric_ff,,0.017587320879101753,4.229331100010313,10.011195099999895
57,1.0,80,1,0.44,1399,1,metric_ff,,0.021496275439858437,2.2079804000095464,4.078851199999917
58,1.0,191,1,0.44,1590,1,metric_ff,,0.02497890777885914,3.1656554999935906,7.428741600015201
59,1.0,198,1,0.48,1788,1,metric_ff,,0.01754441112279892,2.4948741999978665,6.92500819999259
60,0.0,262,0,0.48,1788,1,metric_ff,,0.027604036033153534,3.020967499993276,8.439022899983684
61,1.0,81,1,0.48,1869,1,metric_ff,,0.022315751761198044,2.80818459999864,4.653318199998466
62,0.0,267,0,0.48,1869,1,metric_ff,,0.0180249884724617,4.056433099991409,9.579861300007906
63,0.0,265,0,0.48,1869,1,metric_ff,,0.019608668982982635,2.1117185999755748,7.8360974000243
64,0.0,265,0,0.44,1869,1,metric_ff,,0.012515689246356487,2.307020399981411,8.345674000011059
65,0.0,267,0,0.44,1869,1,metric_ff,,0.028443295508623123,2.573740899999393,7.815821500000311
66,0.0,256,0,0.44,1869,1,metric_ff,,0.030411358922719955,2.8729732999927364,8.675539999996545
67,0.0,259,0,0.4,1869,1,metric_ff,,0.019307611510157585,2.5449761000054423,8.280666900012875
68,0.0,268,0,0.4,1869,1,metric_ff,,0.030349811539053917,3.008405100001255,8.605881499999668
69,1.0,90,1,0.44,1959,1,metric_ff,,0.017353955656290054,3.4607512000075076,5.9406485999934375
70,0.0,268,0,0.44,1959,1,metric_ff,,0.027193062007427216,3.3929211999929976,9.602454499981832
71,0.0,260,0,0.44,1959,1,metric_ff,,0.022614113986492157,3.315857799985679,8.902148200024385
72,1.0,198,1,0.44,2157,1,metric_ff,,0.02232280746102333,4.0604795000108425,8.226247399987187
73,1.0,99,1,0.44,2256,1,metric_ff,,0.019293995574116707,2.471868299995549,4.671111999981804
74,0.0,260,0,0.44,2256,1,metric_ff,,0.02918575145304203,3.2606978000258096,9.019982999976492
75,1.0,118,1,0.44,2374,1,metric_ff,,0.019618015736341476,3.380252600007225,6.305701000004774
76,0.0,257,0,0.4,2374,1,metric_ff,,0.01755576953291893,2.1984903999837115,8.186866600008216
77,1.0,6,1,0.4,2380,1,metric_ff,,0.026335222646594048,2.480007000005571,2.8739199999836273
78,0.0,268,0,0.36,2380,1,metric_ff,,0.0249357670545578,3.4818883999832906,9.223693899984937
79,1.0,13,1,0.4,2393,1,metric_ff,,0.060255635529756546,2.5722611999954097,3.179672700003721
80,1.0,66,1,0.44,2459,1,metric_ff,,0.016934536397457123,2.723748299991712,4.349666900001466
81,0.0,261,0,0.44,2459,1,metric_ff,,0.06629073619842529,3.061358500010101,9.18069999999716
82,0.0,259,0,0.4,2459,1,metric_ff,,0.03699205070734024,2.3503724000183865,7.9310276999894995
83,0.0,269,0,0.36,2459,1,metric_ff,,0.04235156998038292,3.019321600004332,9.125938000011956
84,1.0,6,1,0.36,2465,1,metric_ff,,0.03140035644173622,2.1624015000124928,2.6286702000070363
85,0.0,266,0,0.36,2465,1,metric_ff,,0.02342786081135273,2.8783096999977715,9.168121700000484
86,1.0,6,1,0.36,2471,1,metric_ff,,0.02360004559159279,4.225957499991637,4.6363775999925565
87,1.0,15,1,0.4,2486,1,metric_ff,,0.04656553268432617,3.0080908999952953,3.6801771000027657
88,1.0,42,1,0.44,2528,1,metric_ff,,0.025315096601843834,2.3540613999939524,3.4182679999794345
89,1.0,5,1,0.48,2533,1,metric_ff,,0.018565211445093155,2.2337000999832526,2.6672658000024967
90,0.0,269,0,0.48,2533,1,metric_ff,,0.034172117710113525,2.736249100009445,8.236764900007984
91,1.0,118,1,0.52,2651,1,metric_ff,,0.03056713566184044,2.373801400011871,5.179869999992661
92,0.0,254,0,0.52,2651,1,metric_ff,,0.030464710667729378,2.8817269999999553,8.274068099999567
93,0.0,269,0,0.52,2651,1,metric_ff,,0.04444069415330887,3.3665380000020377,8.828513600019505
94,0.0,264,0,0.48,2651,1,metric_ff,,0.012700507417321205,2.7040388000023086,8.355847300001187
95,0.0,263,0,0.48,2651,1,metric_ff,,0.010608857497572899,2.276730800018413,7.988972000021022
96,0.0,266,0,0.48,2651,1,metric_ff,,0.020907161757349968,3.740395600005286,9.926978700008476
97,0.0,258,0,0.44,2651,1,metric_ff,,0.030149664729833603,2.3524743000161834,8.107801799982553
98,1.0,12,1,0.44,2663,1,metric_ff,,0.020094173029065132,2.5011849000002258,3.0675182999984827
99,1.0,5,1,0.48,2668,1,metric_ff,,0.01631520874798298,2.604957200004719,3.0772481000167318
100,0.0,258,0,0.44,2668,1,metric_ff,,0.039418548345565796,2.626799599995138,8.70518789999187
101,0.0,263,0,0.44,2668,1,metric_ff,,0.03951317444443703,2.7456226000213064,8.405014099989785
102,0.0,268,0,0.4,2668,1,metric_ff,,0.01916935108602047,2.3328443999926094,8.51092850000714
103,1.0,124,1,0.44,2792,1,metric_ff,,0.021826380863785744,3.4087121000047773,6.213291899999604
104,0.0,266,0,0.4,2792,1,metric_ff,,0.021744223311543465,2.2483727000071667,8.278698300011456
105,0.0,269,0,0.36,2792,1,metric_ff,,0.013597408309578896,3.100367400009418,9.344741500011878
106,0.0,259,0,0.36,2792,1,metric_ff,,0.018484028056263924,2.4573720000043977,8.425625700008823
107,0.0,267,0,0.36,2792,1,metric_ff,,0.03212941065430641,2.0378271999943536,7.9125245999894105
108,0.0,264,0,0.36,2792,1,metric_ff,,0.020235877484083176,2.7530262999935076,8.651361099997303
109,1.0,150,1,0.36,2942,1,metric_ff,,0.014991642907261848,2.8060989000077825,6.239624099980574
110,0.0,253,0,0.36,2942,1,metric_ff,,0.023382343351840973,3.448735800018767,9.284684399986872
111,0.0,260,0,0.32,2942,1,metric_ff,,0.033723022788763046,2.0844564999861177,8.226772399997571
112,0.0,258,0,0.28,2942,1,metric_ff,,0.009135151281952858,2.07780170001206,7.94278129999293
113,0.0,258,0,0.24,2942,1,metric_ff,,0.021425040438771248,2.2991691999777686,8.413263399997959
114,1.0,5,1,0.24,2947,1,metric_ff,,0.027567246928811073,3.1038164000201505,3.64742030002526
115,0.0,260,0,0.24,2947,1,metric_ff,,0.03155197948217392,2.979042600025423,8.389217099989764
116,0.0,260,0,0.2,2947,1,metric_ff,,0.015838760882616043,2.485551799996756,8.655497500003548
117,1.0,159,1,0.24,3106,1,metric_ff,,0.019688449800014496,2.3167490999912843,5.829091099993093
118,0.0,269,0,0.24,3106,1,metric_ff,,0.01531313918530941,3.458967799990205,9.766015800007153
119,0.0,271,0,0.24,3106,1,metric_ff,,0.04660525545477867,4.112675999989733,9.592414599988842
120,1.0,189,1,0.28,3295,1,metric_ff,,0.04330364614725113,2.6289936999964993,6.564393400010886
121,0.0,264,0,0.28,3295,1,metric_ff,,0.0331990048289299,2.9173800000280607,8.54712499998277
122,0.0,258,0,0.28,3295,1,metric_ff,,0.08677050471305847,4.429755900026066,10.28669209999498
123,0.0,268,0,0.24,3295,1,metric_ff,,0.03427249193191528,2.577229900023667,8.36397659999784
124,1.0,5,1,0.24,3300,1,metric_ff,,0.03934219107031822,2.731592299998738,3.307929900009185
125,0.0,261,0,0.24,3300,1,metric_ff,,0.04062303155660629,3.9496563999855425,10.01150449999841
126,0.0,265,0,0.24,3300,1,metric_ff,,0.021772295236587524,3.255477400001837,8.627521499991417
127,1.0,5,1,0.28,3305,1,metric_ff,,0.015566907823085785,2.2923102999920957,2.8591090999834705
128,0.0,264,0,0.24,3305,1,metric_ff,,0.06562067568302155,3.1361004000063986,9.206248900009086
129,0.0,261,0,0.24,3305,1,metric_ff,,0.020321547985076904,3.0873206999967806,8.92335140000796
130,1.0,5,1,0.28,3310,1,metric_ff,,0.028025448322296143,2.253221700026188,2.8159551999997348
131,1.0,17,1,0.32,3327,1,metric_ff,,0.04205577075481415,2.050095299986424,3.347932900011074
132,0.0,272,0,0.32,3327,1,metric_ff,,0.0565488338470459,2.097382900014054,8.146398899989435
133,1.0,126,1,0.36,3453,1,metric_ff,,0.039489489048719406,2.630093499989016,5.760750299989013
134,0.0,266,0,0.32,3453,1,metric_ff,,0.027682477608323097,3.199566199997207,9.023727899999358
135,1.0,182,1,0.36,3635,1,metric_ff,,0.024567672982811928,2.8546208000043407,7.3884920999989845
136,1.0,207,1,0.4,3842,1,metric_ff,,0.029119817540049553,2.720969199988758,7.894311800017022
137,0.0,265,0,0.4,3842,1,metric_ff,,0.045571763068437576,2.508147499989718,8.165088700014167
138,0.0,256,0,0.4,3842,1,metric_ff,,0.02351873368024826,2.444855900015682,8.7413720000186
139,0.0,271,0,0.36,3842,1,metric_ff,,0.021450746804475784,2.5155264000059105,8.406184699997539
140,0.0,259,0,0.36,3842,1,metric_ff,,0.03631081432104111,2.4827380999922752,8.372393900004681
141,0.0,266,0,0.36,3842,1,metric_ff,,0.02827838435769081,3.4708749999990687,8.958959900017362
142,0.0,260,0,0.32,3842,1,metric_ff,,0.014372449368238449,2.100605700019514,7.916487000009511
143,1.0,229,1,0.36,4071,1,metric_ff,,0.02669093757867813,2.6325983999995515,8.287235299998429
144,1.0,6,1,0.4,4077,1,metric_ff,,0.02317657135426998,2.561903900001198,3.223914500005776
145,1.0,5,1,0.4,4082,1,metric_ff,,0.053595080971717834,2.6639269000152126,3.3952199000050314
146,0.0,265,0,0.4,4082,1,metric_ff,,0.019486602395772934,2.407420399977127,8.325624399993103
147,0.0,265,0,0.4,4082,1,metric_ff,,0.01371852122247219,2.3981976000068244,8.30330369999865
148,0.0,265,0,0.4,4082,1,metric_ff,,0.029579367488622665,3.0096437000029255,9.415384399995673
149,1.0,127,1,0.4,4209,1,metric_ff,,0.01888403668999672,3.951543400005903,7.214944200008176
150,1.0,22,1,0.44,4231,1,metric_ff,,0.03856370225548744,2.948398200009251,3.9026215999911074
151,1.0,61,1,0.48,4292,1,metric_ff,,0.033219803124666214,2.194216800009599,3.871136600006139
152,0.0,264,0,0.44,4292,1,metric_ff,,0.03158537298440933,2.5087085000122897,9.144049000024097
153,0.0,260,0,0.44,4292,1,metric_ff,,0.03368501365184784,2.581949399987934,8.193220499990275
154,1.0,6,1,0.48,4298,1,metric_ff,,0.03407876193523407,2.879321499989601,3.5447117000003345
155,1.0,250,1,0.48,4548,1,metric_ff,,0.03138357400894165,2.404426799999783,8.472650599986082
156,1.0,6,1,0.48,4554,1,metric_ff,,0.053098324686288834,2.2198482000094373,3.0503734000085387
157,0.0,261,0,0.48,4554,1,metric_ff,,0.04112759232521057,2.1927228000131436,7.753289899992524
158,0.0,270,0,0.44,4554,1,metric_ff,,0.08807849138975143,3.620734199997969,10.115357100003166
159,0.0,269,0,0.44,4554,1,metric_ff,,0.06605006754398346,3.2451702000107616,9.126391200028593
160,0.0,264,0,0.4,4554,1,metric_ff,,0.018256690353155136,2.3059658000129275,8.430674799979897
161,0.0,260,0,0.36,4554,1,metric_ff,,0.039175450801849365,2.443728900019778,9.040206900011981
162,0.0,260,0,0.36,4554,1,metric_ff,,0.024859726428985596,2.1683690999925602,8.121738199988613
163,0.0,260,0,0.36,4554,1,metric_ff,,0.031651344150304794,2.9120366999995895,9.449501399998553
164,1.0,9,1,0.4,4563,1,metric_ff,,0.027569163590669632,2.399146599986125,3.2427575000037905
165,0.0,277,0,0.4,4563,1,metric_ff,,0.04740850627422333,2.325199999992037,8.74689280000166
166,1.0,5,1,0.44,4568,1,metric_ff,,0.04356933757662773,2.4116349999967497,3.2760037000116426
167,1.0,5,1,0.48,4573,1,metric_ff,,0.029753556475043297,2.2381425999919884,2.950164700014284
168,1.0,211,1,0.48,4784,1,metric_ff,,0.027483932673931122,3.0301574000041,8.914654199994402
169,0.0,260,0,0.44,4784,1,metric_ff,,0.04802168905735016,2.8877496999921277,8.8318103000056
170,0.0,266,0,0.4,4784,1,metric_ff,,0.05154695361852646,2.510525600024266,8.505092899984447
171,0.0,260,0,0.4,4784,1,metric_ff,,0.04275895655155182,2.248482299997704,8.839865600020858
172,0.0,258,0,0.4,4784,1,metric_ff,,0.01925300434231758,2.196217800024897,8.067215199989732
173,0.0,259,0,0.4,4784,1,metric_ff,,0.028104811906814575,2.3931945000076666,8.768041400006041
174,1.0,5,1,0.4,4789,1,metric_ff,,0.042441025376319885,2.4664287000196055,3.2969651000166778
175,0.0,268,0,0.36,4789,1,metric_ff,,0.02848738618195057,2.377216699998826,8.746717700007139
176,0.0,262,0,0.32,4789,1,metric_ff,,0.06374353170394897,3.6180345000175294,9.474364499998046
177,0.0,263,0,0.32,4789,1,metric_ff,,0.019645150750875473,2.2189302000042517,7.778955500019947
178,0.0,262,0,0.32,4789,1,metric_ff,,0.019049128517508507,3.3143398000102025,9.46547450000071
179,0.0,265,0,0.28,4789,1,metric_ff,,0.032106928527355194,2.3644229999918025,8.674458800000139
180,1.0,6,1,0.28,4795,1,metric_ff,,0.014055104926228523,2.4885398999904282,3.673982899985276
181,0.0,259,0,0.24,4795,1,metric_ff,,0.03621427342295647,2.7444754999887664,8.656170599977486
182,0.0,260,0,0.24,4795,1,metric_ff,,0.05203753337264061,2.2881540000089444,8.558790099981707
183,1.0,5,1,0.28,4800,1,metric_ff,,0.03762410581111908,2.589866800000891,3.40990930001135
184,1.0,247,1,0.32,5047,1,metric_ff,,0.018904639407992363,2.384994599997299,8.203632200020365
185,1.0,6,1,0.36,5053,1,metric_ff,,0.029825624078512192,2.650222500000382,3.4766952999925707
