episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,275,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.04452044144272804,1.034620599995833,1.8812083000084385
1,1.0,19,1,0.5,19,0,1,1,0,metric_ff,,-0.04799127206206322,0.9705844999989495,1.0267199999943841
2,1.0,89,1,0.6666666666666666,108,0,1,1,0,metric_ff,,-0.048200301826000214,0.9875162999960594,1.2460276000201702
3,1.0,197,1,0.75,305,0,1,1,0,metric_ff,,-0.04614413529634476,1.0696311999927275,1.6426666000043042
4,1.0,5,1,0.8,310,1,1,0,1,metric_ff,,-0.05426677316427231,1.319293300010031,1.4500468999904115
5,1.0,98,1,0.8333333333333334,408,0,1,1,0,metric_ff,,-0.0566580593585968,1.0458552000054624,1.322807999997167
6,0.0,295,0,0.7142857142857143,408,0,1,1,0,metric_ff,,-0.026276934891939163,1.037599200004479,1.8351706999819726
7,0.0,282,0,0.625,408,0,1,1,0,metric_ff,,-0.049309369176626205,1.0423277000081725,1.8450672999897506
8,0.0,285,0,0.5555555555555556,408,0,1,1,0,metric_ff,,-0.04635462164878845,1.0564381999720354,1.8652676999918185
9,1.0,28,1,0.6,436,0,1,1,0,metric_ff,,-0.043513718992471695,1.0063507999875583,1.1160706999944523
10,0.0,306,0,0.5454545454545454,436,0,1,1,0,metric_ff,,-0.04416025057435036,0.9394245999865234,1.7464143999968655
11,0.0,295,0,0.5,436,0,1,1,0,metric_ff,,-0.04327870160341263,1.0702378999849316,1.8780149999947753
12,1.0,5,1,0.5384615384615384,441,1,1,0,1,metric_ff,,-0.05390471592545509,0.9541619000083301,0.9857445000088774
13,1.0,121,1,0.5714285714285714,562,0,1,1,0,metric_ff,,-0.03933541104197502,0.9064446999982465,1.263899899990065
14,1.0,5,1,0.6,567,1,1,0,1,metric_ff,,-0.05902018025517464,0.9668870000168681,1.0012043000024278
15,1.0,15,1,0.625,582,0,1,1,0,metric_ff,,-0.0357634462416172,0.9016222000063863,0.9674416999914683
16,1.0,244,1,0.6470588235294118,826,0,1,1,0,metric_ff,,-0.0247219018638134,0.8458805000118446,1.5628214000025764
17,0.0,293,0,0.6111111111111112,826,0,1,1,0,metric_ff,,-0.029967384412884712,0.8206740999885369,1.6341105999890715
18,0.0,278,0,0.5789473684210527,826,0,1,1,0,metric_ff,,-0.01764914207160473,0.799570400005905,1.568606799992267
19,0.0,286,0,0.55,826,0,1,1,0,metric_ff,,-0.05761042237281799,0.9139850999927148,1.724176100018667
20,1.0,30,1,0.5714285714285714,856,0,1,1,0,metric_ff,,-0.04994729533791542,0.9299675000074785,1.066382999997586
21,1.0,5,1,0.5909090909090909,861,1,1,0,1,metric_ff,,-0.03143367916345596,0.9440386999922339,0.9930999000207521
22,1.0,21,1,0.6086956521739131,882,0,1,1,0,metric_ff,,-0.036973629146814346,0.9853007000056095,1.087041799997678
23,1.0,158,1,0.625,1040,0,1,1,0,metric_ff,,-0.03262325003743172,1.0268528999877162,1.5042280000052415
24,0.0,292,0,0.6,1040,0,1,1,0,metric_ff,,-0.04686388000845909,0.9105423000000883,1.702122100017732
25,1.0,159,1,0.64,1199,0,1,1,0,metric_ff,,-0.053681351244449615,0.8317946000024676,1.355882500007283
26,0.0,279,0,0.6,1199,0,1,1,0,metric_ff,,-0.03705233335494995,1.211008899990702,1.9891122999833897
27,0.0,285,0,0.56,1199,0,1,1,0,metric_ff,,-0.02267615683376789,1.0513735999993514,1.863669000013033
28,1.0,223,1,0.56,1422,0,1,1,0,metric_ff,,-0.03236816078424454,0.9534527999931015,1.7247260000149254
29,0.0,276,0,0.52,1422,0,1,1,0,metric_ff,,-0.028330093249678612,0.8969342999916989,1.6802207000146154
30,1.0,36,1,0.52,1458,0,1,1,0,metric_ff,,-0.047114208340644836,0.923550300009083,1.0626478000194766
31,0.0,300,0,0.52,1458,0,1,1,0,metric_ff,,-0.0222975704818964,1.0728213999827858,1.9585399999923538
32,1.0,130,1,0.56,1588,0,1,1,0,metric_ff,,-0.02156178094446659,0.9604301000072155,1.3651900000113528
33,0.0,288,0,0.56,1588,0,1,1,0,metric_ff,,-0.048885777592659,0.9173097000166308,1.8719885000027716
34,0.0,282,0,0.52,1588,0,1,1,0,metric_ff,,-0.06606315821409225,0.9872281000134535,1.8363513999793213
35,0.0,287,0,0.52,1588,0,1,1,0,metric_ff,,-0.03425581753253937,1.603933300008066,2.430952700000489
36,0.0,289,0,0.52,1588,0,1,1,0,metric_ff,,-0.04800821468234062,1.002712599991355,1.8545923000201583
37,0.0,295,0,0.48,1588,0,1,1,0,metric_ff,,-0.02978268824517727,0.9885216999973636,1.8409169999940787
38,0.0,288,0,0.44,1588,0,1,1,0,metric_ff,,-0.05930761992931366,1.8745484000246506,2.701766000012867
39,0.0,275,0,0.4,1588,0,1,1,0,metric_ff,,-0.036704495549201965,1.0666624000004958,1.9189387999940664
40,0.0,279,0,0.36,1588,0,1,1,0,metric_ff,,-0.03197487071156502,0.898096799995983,1.7362656999903265
41,0.0,297,0,0.32,1588,0,1,1,0,metric_ff,,-0.018362198024988174,0.8553271999990102,1.6846613000088837
42,1.0,11,1,0.36,1599,0,1,1,0,metric_ff,,-0.041235897690057755,1.0325244999839924,1.1414289999811444
43,1.0,73,1,0.4,1672,0,1,1,0,metric_ff,,-0.03313120827078819,0.9320629000139888,1.1974631999910343
44,1.0,5,1,0.44,1677,1,1,0,1,metric_ff,,-0.04349784553050995,0.8614229999948293,0.9650202999764588
45,0.0,293,0,0.4,1677,0,1,1,0,metric_ff,,-0.0370064377784729,0.7981184000091162,1.6645366000011563
46,1.0,5,1,0.4,1682,1,1,0,1,metric_ff,,-0.03194336220622063,0.767549299984239,0.8501647000084631
47,1.0,5,1,0.4,1687,1,1,0,1,metric_ff,,-0.023422127589583397,0.7675019000016619,0.8414805000065826
48,1.0,6,1,0.4,1693,1,1,0,1,metric_ff,,-0.02590768225491047,0.7329931000131182,0.8148476000060327
49,0.0,287,0,0.4,1693,0,1,1,0,metric_ff,,-0.026686470955610275,0.7427937999891583,1.561065999994753
50,0.0,287,0,0.36,1693,0,1,1,0,metric_ff,,-0.03547847643494606,0.7342390000121668,1.553965800005244
51,1.0,48,1,0.4,1741,0,1,1,0,metric_ff,,-0.04034928232431412,0.7657946999825072,0.9614378999976907
52,1.0,72,1,0.44,1813,0,1,1,0,metric_ff,,-0.003040207549929619,0.7575058999937028,1.0975591999886092
53,1.0,37,1,0.44,1850,0,1,1,0,metric_ff,,-0.006694487761706114,0.7688392999989446,0.9437197000079323
54,1.0,239,1,0.48,2089,0,1,1,0,metric_ff,,-0.030792439356446266,0.7002281000022776,1.41893740001251
55,1.0,96,1,0.48,2185,0,1,1,0,metric_ff,,-0.010960971936583519,0.7053423000033945,1.0243835999863222
56,1.0,216,1,0.52,2401,0,1,1,0,metric_ff,,-0.047099798917770386,0.7073159000137821,1.352690400002757
57,0.0,278,0,0.48,2401,0,1,1,0,metric_ff,,-0.05087447166442871,0.7257282999926247,1.5282308000023477
58,0.0,295,0,0.48,2401,0,1,1,0,metric_ff,,-0.014021715149283409,0.6299095000140369,1.4575363000039943
59,1.0,6,1,0.52,2407,1,1,0,1,metric_ff,,-0.02216321974992752,0.6762483000056818,0.7610451000218745
60,1.0,115,1,0.56,2522,0,1,1,0,metric_ff,,-0.0101839704439044,0.7292974000156391,1.1078943000175059
61,1.0,69,1,0.6,2591,0,1,1,0,metric_ff,,-0.00585244270041585,0.7215337000088766,0.982617300003767
62,0.0,278,0,0.6,2591,0,1,1,0,metric_ff,,-0.027610601857304573,0.6728335999941919,1.530998499976704
63,0.0,284,0,0.6,2591,0,1,1,0,metric_ff,,-0.016007356345653534,0.6378910999919754,1.4797124000033364
64,1.0,5,1,0.64,2596,1,1,0,1,metric_ff,,-0.012256445363163948,0.6832566999946721,0.7774399000045378
65,0.0,290,0,0.64,2596,0,1,1,0,metric_ff,,-0.019121140241622925,0.7131575000239536,1.5922161000198685
