episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,1.0,198,1,1.0,198,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.050353676080703735,1.396758500020951,2.141038900008425
1,0.0,283,0,0.5,198,1,metric_ff,,-0.053645193576812744,1.4135448999877553,2.2578033999889158
2,1.0,41,1,0.6666666666666666,239,1,metric_ff,,-0.04556308314204216,1.562528000009479,1.7593410999979824
3,1.0,132,1,0.75,371,1,metric_ff,,-0.05525320768356323,1.5428359000070486,2.0300410000199918
4,0.0,294,0,0.6,371,1,metric_ff,,-0.03278854861855507,2.0148440999910235,3.7296874999883585
5,1.0,5,1,0.6666666666666666,376,1,metric_ff,,-0.03694221377372742,1.437491399992723,1.4704997999942861
6,1.0,204,1,0.7142857142857143,580,1,metric_ff,,-0.025736620649695396,1.3153758000116795,2.299300899991067
7,1.0,14,1,0.75,594,1,metric_ff,,-0.04832233861088753,1.4925550999760162,1.5847487000282854
8,1.0,30,1,0.7777777777777778,624,1,metric_ff,,-0.04930126294493675,1.458212800003821,1.5909859999956097
9,0.0,285,0,0.7,624,1,metric_ff,,-0.05165454000234604,1.369981200026814,2.2790545000170823
10,1.0,113,1,0.7272727272727273,737,1,metric_ff,,-0.03931852802634239,1.1547485000046436,1.6814175999897998
11,0.0,279,0,0.6666666666666666,737,1,metric_ff,,-0.02977450005710125,1.1933285999984946,2.411374200019054
12,1.0,79,1,0.6923076923076923,816,1,metric_ff,,-0.0551220141351223,1.1577636000001803,1.5372868000122253
13,1.0,153,1,0.7142857142857143,969,1,metric_ff,,-0.03262144327163696,1.4349784000078216,2.088645500014536
14,1.0,6,1,0.7333333333333333,975,1,metric_ff,,-0.04638075456023216,1.3515178000088781,1.4011964999954216
15,1.0,13,1,0.75,988,1,metric_ff,,-0.050114307552576065,1.3425975000136532,1.423018499976024
16,0.0,291,0,0.7058823529411765,988,1,metric_ff,,-0.05329502373933792,1.3043896000017412,2.493332800018834
17,1.0,5,1,0.7222222222222222,993,1,metric_ff,,-0.027296412736177444,1.256681300001219,1.3162999000051059
