episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,254,0,0.0,0,0,0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.10406391322612762,12.994538400002057,26.267388999985997
1,0.0,252,0,0.0,0,0,1,1,0,metric_ff,,-0.10770149528980255,14.048262900003465,26.796769100008532
2,0.0,256,0,0.0,0,0,1,1,0,metric_ff,,-0.11433781683444977,12.796100700012175,25.980693099991186
3,0.0,256,0,0.0,0,0,0,0,0,none,RuntimeError: Metric-FF (WSL) timed out after 60s.,-0.09385468810796738,11.80968910001684,24.71143100000336
4,0.0,254,0,0.0,0,0,1,1,0,metric_ff,,-0.07860662043094635,14.392791799997212,25.78451060000225
5,1.0,226,1,0.16666666666666666,226,0,1,1,0,metric_ff,,-0.09451079368591309,13.996773699996993,24.358038000005763
6,0.0,253,0,0.14285714285714285,226,0,1,1,0,metric_ff,,-0.08424188196659088,14.107665299990913,25.638937099982286
7,0.0,259,0,0.125,226,0,1,1,0,metric_ff,,-0.09443020075559616,13.396423500002129,24.728186399996048
8,1.0,6,1,0.2222222222222222,232,1,1,0,1,metric_ff,,-0.08565033972263336,12.616682599997148,12.929539599979762
9,0.0,255,0,0.2,232,0,1,1,0,metric_ff,,-0.07882851362228394,13.041081800009124,25.296254899993073
10,0.0,257,0,0.18181818181818182,232,0,1,1,0,metric_ff,,-0.078733891248703,13.14231419999851,24.112343999993755
11,1.0,5,1,0.25,237,1,1,0,1,metric_ff,,-0.0876636654138565,12.169565799995326,12.419477500021458
12,0.0,253,0,0.23076923076923078,237,0,1,1,0,metric_ff,,-0.08368320763111115,13.0242736999935,25.616133800009266
13,1.0,5,1,0.2857142857142857,242,1,1,0,1,metric_ff,,-0.055536482483148575,12.983611800009385,13.246987499995157
14,1.0,92,1,0.3333333333333333,334,0,1,1,0,metric_ff,,-0.08162771165370941,11.881537800014485,16.4112816999841
15,0.0,253,0,0.3125,334,0,1,1,0,metric_ff,,-0.07242430001497269,11.760117500001797,22.649320500000613
16,0.0,253,0,0.29411764705882354,334,0,1,1,0,metric_ff,,-0.06147342920303345,12.14192299998831,23.400663100008387
17,0.0,253,0,0.2777777777777778,334,0,1,1,0,metric_ff,,-0.04731612280011177,12.778252399992198,23.417537000001175
18,1.0,5,1,0.3157894736842105,339,1,1,0,1,metric_ff,,-0.053408678621053696,11.357890999992378,11.618132400006289
19,0.0,253,0,0.3,339,0,1,1,0,metric_ff,,-0.05328216031193733,11.012309200013988,23.320498700020835
20,0.0,256,0,0.2857142857142857,339,0,1,1,0,metric_ff,,-0.06562694162130356,10.96969359999639,21.598428299999796
21,0.0,255,0,0.2727272727272727,339,0,1,1,0,metric_ff,,-0.042213670909404755,9.88639170001261,20.435655200009933
22,0.0,251,0,0.2608695652173913,339,0,1,1,0,metric_ff,,-0.06606759130954742,10.642678000003798,23.214976699993713
23,0.0,254,0,0.25,339,0,1,1,0,metric_ff,,-0.03986653685569763,11.284710099978838,23.769083899998805
24,0.0,252,0,0.24,339,0,1,1,0,metric_ff,,-0.0585375614464283,10.174399600015022,22.240215400001034
25,1.0,83,1,0.28,422,0,1,1,0,metric_ff,,-0.049587901681661606,11.277079100022092,14.73597810001229
26,0.0,254,0,0.28,422,0,1,1,0,metric_ff,,-0.04469072446227074,11.260716099990532,22.149097900022753
27,0.0,256,0,0.28,422,0,1,1,0,metric_ff,,-0.05481449142098427,12.145552400004817,23.952610200009076
28,0.0,258,0,0.28,422,0,1,1,0,metric_ff,,-0.03225298970937729,11.516788300010376,22.15970349998679
29,1.0,5,1,0.32,427,1,1,0,1,metric_ff,,-0.023399844765663147,8.552136200014502,8.83184950001305
30,0.0,256,0,0.28,427,0,1,1,0,metric_ff,,-0.04905570298433304,7.359716100007063,18.30568220000714
31,0.0,252,0,0.28,427,0,1,1,0,metric_ff,,-0.023935098201036453,5.953596000006655,18.426274299999932
32,1.0,6,1,0.32,433,1,1,0,1,metric_ff,,-0.033758893609046936,4.956752199999755,5.304846899991389
33,0.0,257,0,0.28,433,0,1,1,0,metric_ff,,-0.010323724709451199,3.92580120000639,16.67984389999765
34,0.0,252,0,0.28,433,0,1,1,0,metric_ff,,-0.015723438933491707,3.693145800003549,14.433202099986374
35,0.0,250,0,0.28,433,0,1,1,0,metric_ff,,-0.009240226820111275,3.092959700006759,14.146803100011311
36,0.0,251,0,0.24,433,0,1,1,0,metric_ff,,-0.010278505273163319,3.214615100005176,15.266563899989706
37,1.0,5,1,0.28,438,1,1,0,1,metric_ff,,-0.005607892293483019,3.5077388000208884,3.82046079999418
38,1.0,5,1,0.28,443,1,1,0,1,metric_ff,,2.0555891751428135e-05,2.757711100013694,3.06536770000821
39,0.0,255,0,0.24,443,0,1,1,0,metric_ff,,-0.00015412872016895562,3.0359448999806773,14.359907000005478
40,1.0,5,1,0.28,448,1,1,0,1,metric_ff,,-0.000206071519642137,2.839438099996187,3.1452017000119668
41,0.0,254,0,0.28,448,0,1,1,0,metric_ff,,-0.004616966005414724,2.9943180000118446,14.69290940000792
42,0.0,252,0,0.28,448,0,1,1,0,metric_ff,,-0.002018660306930542,3.1796907000243664,15.432723200006876
43,0.0,255,0,0.24,448,0,1,1,0,metric_ff,,2.0385035895742476e-05,2.606384800019441,13.812237000005553
44,0.0,255,0,0.24,448,0,1,1,0,metric_ff,,-0.002541349036619067,3.04729529999895,13.891491999995196
45,0.0,254,0,0.24,448,0,1,1,0,metric_ff,,-0.004210157785564661,2.9224752000009175,15.88214559998596
46,0.0,255,0,0.24,448,0,1,1,0,metric_ff,,-0.006174349691718817,2.662131200020667,14.574275499995565
47,1.0,6,1,0.28,454,1,1,0,1,metric_ff,,-0.006488151848316193,2.82042599999113,3.1634715999825858
48,0.0,258,0,0.28,454,0,1,1,0,metric_ff,,2.7764182959799655e-05,2.7448015000263695,15.15666149999015
49,0.0,255,0,0.28,454,0,1,1,0,metric_ff,,-0.00539760198444128,2.856137700000545,14.141994600009639
50,1.0,6,1,0.28,460,1,1,0,1,metric_ff,,-0.00401783874258399,2.8338513000053354,3.23461519999546
51,1.0,6,1,0.32,466,1,1,0,1,metric_ff,,5.555007192015182e-06,2.8276571999886073,3.1756947000103537
52,0.0,253,0,0.32,466,0,1,1,0,metric_ff,,2.0596837202901952e-05,2.7962100000004284,15.30185389998951
53,0.0,260,0,0.32,466,0,1,1,0,metric_ff,,1.7343561921734363e-05,2.905474500003038,13.883833300002152
54,0.0,259,0,0.28,466,0,1,1,0,metric_ff,,-0.0036811945028603077,2.902286999975331,15.309150199987926
55,0.0,252,0,0.28,466,0,1,1,0,metric_ff,,1.5193640138022602e-05,2.956974899978377,15.320770399994217
56,0.0,255,0,0.28,466,0,1,1,0,metric_ff,,-0.010285214520990849,2.7649847000138834,14.14913879998494
57,1.0,6,1,0.28,472,1,1,0,1,metric_ff,,-0.0007969219004735351,2.8169794999994338,3.210354599985294
58,0.0,256,0,0.28,472,0,1,1,0,metric_ff,,-0.0057455734349787235,2.848505700007081,15.709645900002215
59,0.0,257,0,0.28,472,0,1,1,0,metric_ff,,7.243989330163458e-06,2.885719500016421,15.552196700009517
60,0.0,257,0,0.28,472,0,1,1,0,metric_ff,,7.065585123200435e-06,2.663977199990768,14.002960700017866
61,0.0,259,0,0.28,472,0,1,1,0,metric_ff,,2.0106534066144377e-05,2.9042920999927446,15.048127599991858
62,1.0,6,1,0.28,478,1,1,0,1,metric_ff,,1.4544512850989122e-05,2.7038469999970403,3.1310364000091795
63,0.0,255,0,0.24,478,0,1,1,0,metric_ff,,2.0254647097317502e-05,2.855964100017445,14.366169599990826
64,1.0,5,1,0.28,483,1,1,0,1,metric_ff,,1.0461780220794026e-05,2.7848852000024635,3.1181324999779463
65,0.0,253,0,0.24,483,0,1,1,0,metric_ff,,1.2372010132821742e-05,2.9979433999978937,15.643152400007239
66,0.0,252,0,0.24,483,0,1,1,0,metric_ff,,-0.002335170516744256,2.6297258000122383,13.430439000017941
67,1.0,128,1,0.28,611,0,1,1,0,metric_ff,,1.033078478940297e-05,2.682552800019039,8.918296000018017
68,0.0,255,0,0.28,611,0,1,1,0,metric_ff,,-0.002406120765954256,2.669111099996371,13.508216799993534
69,0.0,252,0,0.28,611,0,1,1,0,metric_ff,,3.435683174757287e-05,2.7616066000191495,15.065448700013803
70,1.0,102,1,0.32,713,0,1,1,0,metric_ff,,-1.7014397599268705e-05,2.7198182999854907,7.776831800001673
71,0.0,258,0,0.32,713,0,1,1,0,metric_ff,,5.26379199072835e-06,2.58000479999464,14.65160419998574
72,0.0,254,0,0.28,713,0,1,1,0,metric_ff,,1.110176344809588e-05,2.5410927000048105,13.575743800000055
73,0.0,258,0,0.28,713,0,1,1,0,metric_ff,,-0.004236881155520678,2.5683382999850437,14.7766025000019
74,0.0,258,0,0.28,713,0,1,1,0,metric_ff,,5.803814929095097e-06,3.4322399999946356,15.892112700006692
75,0.0,255,0,0.24,713,0,1,1,0,metric_ff,,1.304066609009169e-05,2.758983100007754,13.576755200017942
76,0.0,254,0,0.2,713,0,1,1,0,metric_ff,,1.2399232218740508e-05,2.6968001000059303,14.72402389999479
77,0.0,251,0,0.2,713,0,1,1,0,metric_ff,,1.0946955626423005e-05,4.238303199992515,21.89795609997236
78,0.0,253,0,0.2,713,0,1,1,0,metric_ff,,9.688201316748746e-06,3.2757878999982495,19.698749399976805
79,0.0,254,0,0.2,713,0,1,1,0,metric_ff,,-0.0018894129898399115,3.617659100011224,20.72760150002432
