episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
0,0.0,257,0,0.0,0,0,none,RuntimeError: No AML model available yet; deferring to RL.,-0.09033248573541641,5.134792700002436,10.263368999992963
1,0.0,264,0,0.0,0,1,metric_ff,,-0.09941966831684113,5.326665000000503,10.64378770001349
2,1.0,250,1,0.3333333333333333,250,1,metric_ff,,-0.07835504412651062,5.837017799989553,10.680361100006849
3,0.0,264,0,0.25,250,1,metric_ff,,-0.0636327862739563,5.208718100009719,10.390386000013677
4,0.0,264,0,0.2,250,1,metric_ff,,-0.06883883476257324,5.431526700005634,11.226039100001799
5,0.0,263,0,0.16666666666666666,250,1,metric_ff,,-0.07611926645040512,5.4654606000112835,10.195194100000663
6,0.0,258,0,0.14285714285714285,250,1,metric_ff,,-0.07595901191234589,5.282815999991726,10.194110500015086
7,1.0,5,1,0.25,255,1,metric_ff,,-0.05802785977721214,5.427830500004347,5.557558700005757
8,1.0,47,1,0.3333333333333333,302,1,metric_ff,,-0.06990018486976624,5.434187100006966,6.332911800011061
9,0.0,268,0,0.3,302,1,metric_ff,,-0.05801234394311905,4.6283624000207055,9.43145609999192
10,0.0,266,0,0.2727272727272727,302,1,metric_ff,,-0.05959417670965195,5.0802438000100665,10.37885660000029
11,0.0,265,0,0.25,302,1,metric_ff,,-0.08068691939115524,5.731106599996565,10.793642900011037
12,0.0,265,0,0.23076923076923078,302,1,metric_ff,,-0.06763233989477158,4.8928443000186235,9.75554749998264
13,1.0,49,1,0.2857142857142857,351,1,metric_ff,,-0.07696228474378586,4.739609300013399,5.66283879999537
14,0.0,264,0,0.26666666666666666,351,1,metric_ff,,-0.06117021292448044,5.857674500002759,10.571863399993163
15,0.0,271,0,0.25,351,1,metric_ff,,-0.06949840486049652,4.635871400008909,9.571435099991504
16,1.0,214,1,0.29411764705882354,565,1,metric_ff,,-0.0660964623093605,5.206726399977924,10.037061000009999
17,1.0,192,1,0.3333333333333333,757,1,metric_ff,,-0.059558115899562836,5.53179629999795,9.380286700004945
18,1.0,5,1,0.3684210526315789,762,1,metric_ff,,-0.04510828107595444,4.87506379999104,5.038298700004816
19,0.0,264,0,0.35,762,1,metric_ff,,-0.04235588759183884,5.200932000007015,10.828393400006462
20,1.0,7,1,0.38095238095238093,769,1,metric_ff,,-0.052588820457458496,4.975551700015785,5.173054100014269
21,1.0,224,1,0.4090909090909091,993,1,metric_ff,,-0.04422082379460335,4.869204600021476,9.426818099978846
22,0.0,259,0,0.391304347826087,993,1,metric_ff,,-0.05734681710600853,5.061740600009216,9.717474600009155
23,1.0,185,1,0.4166666666666667,1178,1,metric_ff,,-0.06426697969436646,5.275740399985807,8.400746100000106
24,0.0,266,0,0.4,1178,1,metric_ff,,-0.05425553023815155,4.968822299997555,10.318475300009595
25,0.0,268,0,0.4,1178,1,metric_ff,,-0.02867003157734871,5.311654699995415,10.59798319998663
26,1.0,91,1,0.44,1269,1,metric_ff,,-0.05197206512093544,5.021808699995745,6.781524899997748
27,0.0,260,0,0.4,1269,1,metric_ff,,-0.03842264786362648,4.3094013999798335,9.519367800006876
28,0.0,251,0,0.4,1269,1,metric_ff,,-0.02771005406975746,5.23348850000184,10.047223299974576
29,1.0,114,1,0.44,1383,1,metric_ff,,-0.05175795406103134,4.65579119999893,6.637207499996293
30,1.0,5,1,0.48,1388,1,metric_ff,,-0.04036827012896538,4.851837299996987,4.990970799990464
31,1.0,230,1,0.52,1618,1,metric_ff,,-0.06637352705001831,4.494735400017817,9.233031899988418
32,0.0,265,0,0.48,1618,1,metric_ff,,-0.0627746656537056,5.054164700006368,9.915536200016504
33,1.0,19,1,0.48,1637,1,metric_ff,,-0.04289286211133003,4.4868561000039335,4.918438599997899
34,0.0,265,0,0.48,1637,1,metric_ff,,-0.02698550559580326,4.29565569999977,9.642384800012223
35,0.0,259,0,0.48,1637,1,metric_ff,,-0.031851571053266525,4.3185656999994535,9.561286000011023
36,0.0,269,0,0.48,1637,1,metric_ff,,-0.04346704110503197,4.031260399991879,8.9724057999847
37,0.0,262,0,0.48,1637,1,metric_ff,,-0.03975854068994522,4.152734900009818,9.42612150000059
38,0.0,265,0,0.44,1637,1,metric_ff,,-0.03307190164923668,4.904119300015736,10.26766799998586
39,0.0,257,0,0.44,1637,1,metric_ff,,-0.023092221468687057,3.6417172999936156,8.730287600017618
40,1.0,6,1,0.48,1643,1,metric_ff,,-0.03981450945138931,4.317473400005838,4.530937500006985
41,0.0,259,0,0.44,1643,1,metric_ff,,-0.057508960366249084,4.347484900004929,9.287684100010665
42,0.0,269,0,0.4,1643,1,metric_ff,,-0.030947791412472725,4.409265800000867,9.244066899991594
43,0.0,265,0,0.36,1643,1,metric_ff,,-0.04138503968715668,4.680626100016525,9.849174000002677
44,0.0,268,0,0.36,1643,1,metric_ff,,-0.04223724082112312,3.989019800006645,8.40766490000533
45,0.0,260,0,0.32,1643,1,metric_ff,,-0.02802438661456108,4.246441199997207,9.669442700018408
46,0.0,255,0,0.28,1643,1,metric_ff,,-0.01832113042473793,4.628024199977517,9.639045599993551
47,0.0,258,0,0.28,1643,1,metric_ff,,-0.052347853779792786,4.265446500008693,9.411814099992625
48,0.0,256,0,0.24,1643,1,metric_ff,,-0.046948276460170746,4.159833799989428,9.659257399995113
49,1.0,6,1,0.28,1649,1,metric_ff,,-0.03820338845252991,4.164012100023683,4.403178999986267
50,0.0,261,0,0.28,1649,1,metric_ff,,-0.029592661187052727,4.606232199992519,9.534607699984917
